17	10	7	4
34	20	14	8
58	35	24	15
82	50	34	21
106	64	44	27
139	84	58	36
154	93	64	39
202	122	84	52
235	143	98	60
288	174	119	74
331	200	137	85
374	227	155	96
427	259	177	109
468	283	194	120
530	321	220	136
602	365	250	154
674	408	280	173
746	452	310	191
813	493	338	208
919	557	382	235
969	587	403	248
1056	640	439	270
1108	672	461	284
1228	744	511	315
1286	779	535	330
1425	864	593	365
1501	910	625	385
1581	958	658	405
1677	1016	698	430
1782	1080	742	457
1897	1150	790	486
2022	1226	842	518
2157	1307	898	553
2301	1394	958	590
2361	1431	983	605
2524	1530	1051	647
2625	1591	1093	673
2735	1658	1139	701
2927	1774	1219	750
3057	1852	1273	784
